693 2 119,0 0 0 2 0 0 2 0 41,1 
265 3 163,0 0 0 2 0 1 7 0 47,45 
340 3 159,0 0 0 3 0 0 13 -1 43,14 
819 2 110,0 0 1 1 0 0 10 0 40,05 
334 2 120,0 0 0 2 0 0 5 0 42,46 
392 2 119,0 0 0 2 0 0 -4 -5 41,22 
291 2 102,0 0 0 2 0 0 3 -1 37,91 
244 3 158,0 0 0 3 0 0 8 -1 45,13 
316 1 55,0 0 0 1 0 0 2 0 37,12 
621 1 54,0 0 1 0 0 0 3 0 40,45 
277 1 54,0 0 0 1 0 0 0 0 45,04 
207 2 117,0 0 1 1 0 0 3 0 41,68 
546 2 106,0 0 0 2 0 0 4 0 43,37 
215 3 163,0 0 0 3 0 0 5 0 40,81 
750 3 170,0 0 0 3 0 0 -9 -13 41,6 
217 2 108,0 0 0 2 0 0 0 -1 41,13 
429 2 110,0 0 1 1 0 0 4 -1 43,82 
244 3 173,0 0 0 3 0 0 4 -2 35,34 
220 3 171,0 0 0 3 0 0 6 0 42,57 
273 2 107,0 0 0 2 0 0 7 0 46,73 
228 2 107,0 0 0 2 0 0 -1 -2 39,95 
563 2 131,0 0 0 2 0 0 13 0 45,57 
720 1 64,0 0 0 1 0 0 3 0 44,65 
240 1 55,0 0 0 1 0 0 -1 -1 42,92 
515 3 186,0 0 0 3 0 0 6 0 37,93 
205 1 65,0 0 0 1 0 0 -1 -1 36,5 
353 2 119,0 0 0 2 0 0 1 0 41,44 
215 1 65,0 0 0 1 0 0 3 0 42,89 
296 2 108,0 0 0 2 0 0 1 -1 42,68 
515 2 109,0 0 1 1 0 0 7 0 35,72 
783 2 116,0 1 0 0 0 1 -18 -18 48,25 
500 1 55,0 0 1 0 0 0 7 0 40,72 
948 4 225,0 0 2 1 1 0 28 0 52,44 
240 2 128,0 0 0 2 0 0 6 -1 43,97 
353 3 165,0 0 1 2 0 0 6 0 41,49 
247 2 119,0 0 0 2 0 0 4 0 52,94 
